Team,Played,Won,Lost,Tied,SD,Points,Win
U Mumba (C),14,12,2,0,40,60,1
Telugu Titans (3),14,8,3,3,85,50,0
Bengaluru Bulls (R),14,9,5,0,55,48,0
Patna Pirates (4),14,7,6,1,-18,41,0
Jaipur Pink Panthers,14,6,7,1,43,38,0
Bengal Warriors,14,4,9,1,-63,27,0
Dabang Delhi,14,4,9,1,-68,27,0
Puneri Paltan,14,2,11,1,-74,21,0
