Team,Played,Won,Lost,Tied,SD,Points,Win
U Mumba (R),14,12,2,0,95,60,0
Patna Pirates (C),14,10,2,2,104,58,0
Puneri Paltan (3),14,7,4,3,92,48,1
Bengal Warriors (4),14,9,5,0,26,47,0
Telugu Titans,14,7,7,0,-10,38,0
Jaipur Pink Panthers,14,4,8,2,-63,28,0
Bengaluru Bulls,14,2,12,0,-102,14,0
Dabang Delhi,14,1,12,1,-142,11,0
